Дата продажи,Регион,Тип светильника,Количество проданных единиц,Цена за единицу,Общая стоимость,Тип продажи,Оценка товара,Способ получения
2024-11-23,Москва,настольные лампы,5,2826.47,14132.35,онлайн,1,почта
2024-10-06,Москва,торшеры,7,801.94,5613.58,онлайн,2,самовывоз
2024-09-15,Москва,торшеры,4,7302.19,29208.76,оффлайн,2,курьер
2024-10-28,Московская область,настольные лампы,3,7132.32,21396.96,оффлайн,3,самовывоз
2024-04-20,Московская область,настольные лампы,2,4109.31,8218.62,оффлайн,3,почта
2024-05-15,Москва,потолочные светильники,9,1685.85,15172.65,оффлайн,1,почта
2024-05-30,Московская область,торшеры,4,7193.43,28773.72,онлайн,2,курьер
2024-02-10,Москва,настольные лампы,7,3140.75,21985.25,оффлайн,2,курьер
2024-06-30,Москва,настенные светильники,2,6286.74,12573.48,онлайн,5,почта
2024-05-05,Москва,потолочные светильники,7,3064.5,21451.5,онлайн,3,самовывоз
2024-04-27,Москва,настенные светильники,7,3043.54,21304.78,онлайн,5,почта
2024-06-10,Москва,потолочные светильники,7,8904.49,62331.43,оффлайн,2,курьер
2024-03-12,Москва,торшеры,9,2996.05,26964.45,оффлайн,5,курьер
2024-07-04,Москва,люстры,9,5188.4,46695.6,онлайн,1,самовывоз
2024-11-17,Москва,потолочные светильники,10,1103.51,11035.1,оффлайн,5,курьер
2024-09-27,Московская область,торшеры,1,6962.69,6962.69,онлайн,5,курьер
2024-11-24,Московская область,настольные лампы,5,4630.27,23151.35,оффлайн,1,почта
2024-05-14,Москва,торшеры,2,8769.93,17539.86,оффлайн,5,почта
2024-04-11,Москва,настенные светильники,3,5624.1,16872.3,онлайн,5,курьер
2024-09-07,Москва,настольные лампы,6,8847.86,53087.16,оффлайн,2,самовывоз
2024-05-03,Москва,настольные лампы,8,8252.22,66017.76,онлайн,2,почта
2024-08-31,Москва,настенные светильники,9,8788.11,79092.99,оффлайн,2,почта
2024-12-19,Москва,настенные светильники,7,9953.92,69677.44,оффлайн,4,почта
2024-08-19,Москва,люстры,4,1108.25,4433.0,онлайн,5,почта
2024-04-27,Москва,настольные лампы,2,7224.49,14448.98,онлайн,2,самовывоз
2024-01-17,Московская область,настольные лампы,9,2761.04,24849.36,оффлайн,2,почта
2024-03-08,Московская область,люстры,8,8171.22,65369.76,онлайн,1,самовывоз
2024-12-03,Московская область,настенные светильники,7,4405.47,30838.29,онлайн,1,самовывоз
2024-07-25,Московская область,настольные лампы,4,2320.11,9280.44,оффлайн,2,курьер
2024-04-03,Московская область,потолочные светильники,4,8807.62,35230.48,онлайн,4,почта
2024-02-20,Москва,торшеры,1,9705.46,9705.46,онлайн,2,курьер
2024-09-05,Московская область,люстры,7,9073.21,63512.47,онлайн,4,самовывоз
2024-07-18,Московская область,потолочные светильники,5,4518.57,22592.85,оффлайн,2,самовывоз
2024-05-31,Москва,настольные лампы,10,7489.5,74895.0,онлайн,3,самовывоз
2024-01-26,Московская область,торшеры,9,1995.61,17960.49,онлайн,2,самовывоз
2024-10-31,Москва,люстры,7,1638.92,11472.44,онлайн,5,почта
2024-01-21,Москва,потолочные светильники,10,5869.66,58696.6,оффлайн,3,самовывоз
2024-12-08,Московская область,люстры,5,4259.97,21299.85,оффлайн,4,курьер
2024-02-07,Москва,потолочные светильники,10,9985.32,99853.2,онлайн,1,почта
2024-04-19,Московская область,люстры,6,8868.21,53209.26,онлайн,3,курьер
2024-03-21,Московская область,торшеры,5,6310.94,31554.7,онлайн,5,курьер
2024-12-05,Москва,люстры,5,1596.57,7982.85,онлайн,5,самовывоз
2024-05-19,Московская область,торшеры,4,7317.32,29269.28,онлайн,3,почта
2024-09-07,Московская область,настольные лампы,2,6525.7,13051.4,оффлайн,1,самовывоз
2024-06-19,Москва,настенные светильники,3,7541.69,22625.07,оффлайн,5,самовывоз
2024-02-27,Москва,люстры,9,842.27,7580.43,оффлайн,5,почта
2024-03-16,Московская область,люстры,1,3428.45,3428.45,онлайн,3,самовывоз
2024-12-15,Москва,настольные лампы,6,7911.1,47466.6,оффлайн,5,почта
2024-03-20,Москва,люстры,3,8873.45,26620.35,онлайн,2,почта
2024-06-19,Московская область,люстры,5,2012.38,10061.9,онлайн,4,самовывоз
2024-08-28,Москва,люстры,8,3821.76,30574.08,онлайн,2,самовывоз
2024-12-03,Москва,потолочные светильники,6,3146.73,18880.38,онлайн,3,курьер
2024-11-24,Московская область,торшеры,6,9422.75,56536.5,онлайн,3,самовывоз
2024-10-24,Московская область,настольные лампы,2,6167.43,12334.86,оффлайн,3,курьер
2024-11-06,Москва,потолочные светильники,10,2305.75,23057.5,онлайн,4,самовывоз
2024-09-23,Москва,настенные светильники,7,1164.75,8153.25,оффлайн,5,курьер
2024-12-05,Москва,настенные светильники,9,3438.2,30943.8,оффлайн,3,курьер
2024-12-22,Московская область,торшеры,3,2322.48,6967.44,оффлайн,2,почта
2024-10-18,Московская область,потолочные светильники,9,8420.39,75783.51,оффлайн,3,самовывоз
2024-08-08,Московская область,потолочные светильники,8,4700.52,37604.16,онлайн,5,курьер
2024-03-27,Москва,настенные светильники,9,6806.61,61259.49,оффлайн,1,самовывоз
2024-12-10,Московская область,люстры,4,1899.86,7599.44,онлайн,2,курьер
2024-11-08,Москва,потолочные светильники,7,8918.3,62428.1,онлайн,4,курьер
2024-07-23,Москва,люстры,1,8980.27,8980.27,онлайн,4,самовывоз
2024-03-31,Московская область,настольные лампы,9,2867.38,25806.42,онлайн,4,самовывоз
2024-08-25,Московская область,потолочные светильники,10,8242.56,82425.6,оффлайн,5,курьер
2024-03-22,Московская область,потолочные светильники,5,7641.88,38209.4,оффлайн,5,курьер
2024-11-16,Москва,настенные светильники,8,1236.09,9888.72,оффлайн,2,курьер
2024-06-20,Московская область,торшеры,2,1814.55,3629.1,онлайн,4,почта
2024-03-19,Москва,настольные лампы,7,4372.19,30605.33,оффлайн,4,самовывоз
2024-04-15,Московская область,потолочные светильники,10,9487.59,94875.9,онлайн,5,курьер
2024-09-01,Москва,настенные светильники,5,7658.01,38290.05,оффлайн,5,почта
2024-10-06,Москва,потолочные светильники,4,3092.89,12371.56,оффлайн,1,курьер
2024-06-21,Московская область,люстры,8,9235.65,73885.2,онлайн,4,почта
2024-10-15,Москва,настольные лампы,7,1789.15,12524.05,оффлайн,2,самовывоз
2024-05-13,Московская область,настенные светильники,4,4819.64,19278.56,оффлайн,4,курьер
2024-08-03,Московская область,настольные лампы,8,684.14,5473.12,онлайн,3,самовывоз
2024-11-28,Москва,настольные лампы,1,9521.31,9521.31,онлайн,1,почта
2024-03-19,Москва,люстры,8,6859.86,54878.88,онлайн,4,почта
2024-05-11,Московская область,люстры,10,6268.85,62688.5,онлайн,2,курьер
2024-02-25,Москва,настенные светильники,10,6934.8,69348.0,оффлайн,4,почта
2024-04-11,Москва,торшеры,4,1468.06,5872.24,оффлайн,5,самовывоз
2024-10-16,Москва,настенные светильники,9,4569.59,41126.31,оффлайн,1,почта
2024-11-27,Московская область,настольные лампы,7,8312.14,58184.98,онлайн,4,курьер
2024-11-21,Московская область,люстры,7,2173.3,15213.1,оффлайн,5,почта
2024-09-04,Московская область,потолочные светильники,10,3049.76,30497.6,онлайн,1,курьер
2024-08-18,Москва,потолочные светильники,10,6298.15,62981.5,оффлайн,3,самовывоз
2024-09-10,Московская область,люстры,8,2515.14,20121.12,оффлайн,3,курьер
2024-11-01,Московская область,торшеры,1,5407.96,5407.96,онлайн,1,самовывоз
2024-07-27,Московская область,торшеры,4,7060.79,28243.16,оффлайн,4,самовывоз
2024-02-17,Московская область,люстры,7,7071.98,49503.86,оффлайн,5,курьер
2024-08-30,Московская область,потолочные светильники,9,3642.52,32782.68,оффлайн,3,курьер
2024-05-08,Москва,настольные лампы,4,3497.71,13990.84,онлайн,2,самовывоз
2024-09-04,Московская область,торшеры,9,6169.51,55525.59,онлайн,2,курьер
2024-04-26,Московская область,люстры,5,634.41,3172.05,онлайн,3,самовывоз
2024-01-28,Московская область,люстры,8,1474.58,11796.64,онлайн,5,курьер
2024-08-28,Московская область,потолочные светильники,6,2251.45,13508.7,онлайн,3,курьер
2024-02-28,Москва,потолочные светильники,8,1203.78,9630.24,онлайн,2,самовывоз
2024-10-15,Московская область,настольные лампы,4,1625.29,6501.16,оффлайн,5,почта
2024-11-12,Москва,торшеры,7,4779.89,33459.23,оффлайн,3,почта
2024-08-07,Московская область,торшеры,10,1072.19,10721.9,онлайн,2,почта
2024-04-18,Московская область,настольные лампы,3,2778.72,8336.16,онлайн,2,самовывоз
2024-07-28,Московская область,торшеры,8,3266.96,26135.68,онлайн,3,почта
2024-05-24,Московская область,настольные лампы,4,9277.15,37108.6,онлайн,4,самовывоз
2024-10-05,Москва,люстры,5,8353.0,41765.0,онлайн,1,самовывоз
2024-06-06,Московская область,потолочные светильники,2,4952.63,9905.26,оффлайн,4,курьер
2024-09-13,Московская область,потолочные светильники,2,6181.35,12362.7,оффлайн,3,почта
2024-05-08,Москва,настольные лампы,4,9638.16,38552.64,онлайн,3,почта
2024-01-21,Москва,потолочные светильники,9,6689.34,60204.06,оффлайн,2,почта
2024-08-11,Московская область,настольные лампы,8,3805.63,30445.04,оффлайн,3,почта
2024-02-23,Москва,настенные светильники,7,7089.9,49629.3,оффлайн,4,почта
2024-01-19,Московская область,настольные лампы,6,2897.79,17386.74,онлайн,4,почта
2024-01-01,Московская область,потолочные светильники,1,2282.03,2282.03,оффлайн,5,курьер
2024-11-16,Московская область,настольные лампы,4,3037.03,12148.12,онлайн,3,курьер
2024-12-23,Московская область,настольные лампы,1,9744.89,9744.89,онлайн,2,курьер
2024-10-09,Москва,торшеры,7,1385.49,9698.43,онлайн,4,самовывоз
2024-11-27,Москва,потолочные светильники,5,5334.28,26671.4,оффлайн,4,курьер
2024-08-29,Москва,потолочные светильники,9,1874.1,16866.9,онлайн,5,почта
2024-03-10,Москва,настенные светильники,7,3728.81,26101.67,оффлайн,1,курьер
2024-06-01,Московская область,люстры,8,5616.52,44932.16,оффлайн,3,почта
